id,name,elevation,latitude_dms,longitude_dms,latitude_dd,longitude_dd,cities_id,cod_mapa
1,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BRASILIA/DF,1159.54,15°47'S,47°55'W,,,882,
2,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE AGUAS EMENDADAS/GO,1200.00,15°35'S,47°37'W,,,882,
3,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PONTE ALTA (GAMA)/DF,990.00,15°93'S,48°13'W,,,882,
4,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE GOIANIA/GO,770.00,16°38'S,49°13'W,,,977,
5,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MORRINHOS/GO,771.42,17°43'S,49°06'W,,,1032,
6,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE NIQUELANDIA/GO,583.00,14°27'S,48°27'W,,,1040,
7,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SÃO SIMÃO/GO,488.51,18°58'S,50°37'W,,,1105,
8,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE LUZIANIA/GO,958.00,16°16'S,47°57'W,,,1017,
9,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ARAGARÇAS/GO,347.00,15°54'S,52°14'W,,,905,
10,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE GOIÁS/GO,512.00,15°56'S,50°08'W,,,979,
11,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ITAPACI/GO,522.00,14°58'S,49°32'W,,,1001,
12,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE JATAÍ/GO,582.00,17°55'S,51°43'W,,,1010,
13,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE POSSE/GO,834.00,14°05'S,46°21'W,,,1074,
14,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE GOIANESIA/GO,667.00,15°13'S,48°59'W,,,976,
15,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CAIAPÔNIA/GO,737.00,16°58'S,51°49'W,,,929,
16,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ALTO PARAISO GOIAS/GO,1260.00,14°07'S,47°31'W,,,893,
17,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE RIO VERDE/GO,782.00,17°47'S,50°57'W,,,1080,
18,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MINEIROS/GO,706.00,17°34'S,52°35'W,,,1026,
19,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PARAUNA/GO,678.00,16°57'S,50°25'W,,,1061,
20,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE IPORA/GO,625.00,16°25'S,51°08'W,,,995,
21,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MONTE ALEGRE GOIAS/GO,1253.00,13°14'S,46°53'W,,,1028,
22,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PIRES DO RIO/GO,752.00,17°18'S,48°16'W,,,1068,
23,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CATALÃO/GO,890.00,18°09'S,47°55'W,,,941,
24,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ITUMBIARA/GO,488.00,18°24'S,49°11'W,,,1006,
25,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CRISTALINA/GO,1202.00,16°47'S,47°36'W,,,953,
26,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SILVANIA/GO,949.00,16°40'S,48°37'W,,,1108,
27,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CPº. GRANDE/MS,530.00,20°27'S,54°36'W,,,1505,
28,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PONTA PORÃ/MS,650.00,22°32'S,55°32'W,,,1546,
29,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE TRES LAGOAS/MS,313.00,20°46'S,51°42'W,,,1562,
30,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE IVINHEMA/MS,373.29,22°18'S,53°49'W,,,1527,
31,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PARANAIBA/MS,424.00,19°41'S,51°10'W,,,1543,
32,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE NHUMIRIM/MS,104.00,18°58'S,56°39'W,,,1511,
33,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE AQUIDAUANA/MS,155.00,20°28'S,55°47'W,,,1494,
34,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE COXIM/MS,252.00,18°30'S,54°44'W,,,1513,
35,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE DOURADOS/MS,469.00,22°11'S,54°54'W,,,1517,
36,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MIRANDA/MS,140.00,20°23'S,56°25'W,,,1536,
37,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PORTO MURTINHO/MS,85.00,21°42'S,57°33'W,,,1547,
38,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CORUMBÁ/MS,126.00,18°59'S,57°38'W,,,1511,
39,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CHAPADÃO DO SUL/MS,818.00,18°48'S,52°36'W,,,1508,
40,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MARACAJU/MS,401.00,21°36'S,55°10'W,,,1535,
41,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE S. GABRIEL DO OESTE/MS,647.00,19°25'S,54°33'W,,,1554,
42,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CASSILANDIA/MS,516.00,19°07'S,51°43'W,,,1507,
43,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE RIO BRILHANTE/MS,329.00,21°46'S,54°31'W,,,1549,
44,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE JUTI/MS,379.00,22°51'S,54°36'W,,,1532,
45,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE AMAMBAI/MS,431.00,23°00'S,55°19'W,,,1488,
46,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SETE QUEDAS/MS,402.00,23°58'S,55°01'W,,,1556,
47,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ITAQUIRAI/MS,336.00,23°26'S,54°10'W,,,1526,
48,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SIDROLANDIA/MS,464.00,20°58'S,54°58'W,,,1557,
49,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ÁGUA CLARA/MS,338.00,20°26'S,52°52'W,,,1486,
50,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BELA VISTA/MS,208.00,22°06'S,56°32'W,,,1499,
51,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE JARDIM/MS,249.00,21°28'S,56°08'W,,,1530,
52,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BATAGUASSU/MS,387.00,21°45'S,52°28'W,,,1497,
53,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE COSTA RICA/MS,730.00,18°29'S,53°10'W,,,1512,
54,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SONORA/MS,495.00,17°38'S,54°45'W,,,1558,
55,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CUIABÁ/MT,151.34,15°37'S,56°06'W,,,1383,
56,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE TANGARÁ DA SERRA/MT,321.50,14°39'S,57°25'W,,,1475,
57,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE S.J.DO RIO CLARO/MT,350.00,13°27'S,56°39'W,,,1466,
58,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SORRISO/MT,380.00,12°33'S,55°43'W,,,1473,
59,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CPº NOVO DOS PARECIS/MT,570.00,13°47'S,57°50'W,,,1367,
60,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE GUARANTÃ DO NORTE/MT,320.00,09°57'S,54°53'W,,,1393,
61,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE RONDONÓPOLIS/MT,284.00,16°27'S,54°34'W,,,1454,
62,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ÁGUA BOA/MT,432.00,14°00'S,52°12'W,,,1347,
63,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ALTO ARAGUAIA/MT,753.00,17°33'S,53°22'W,,,1349,
64,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE APIACAS/MT,220.00,09°33'S,57°23'W,,,1354,
65,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CAMPO VERDE/MT,749.00,15°31'S,55°08'W,,,1368,
66,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE COMODORO/MT,591.00,13°42'S,59°45'W,,,1379,
67,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE JUARA/MT,260.00,11°16'S,57°31'W,,,1403,
68,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PARANATINGA/MT,474.00,14°25'S,54°02'W,,,1434,
69,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE QUERÊNCIA/MT,382.00,12°37'S,52°13'W,,,1448,
70,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SINOP/MT,371.00,11°58'S,55°33'W,,,1472,
71,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CONFRESA/MT,237.00,10°39'S,51°34'W,,,1380,
72,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE COTRIGUAÇÚ/MT,261.00,09°54'S,58°34'W,,,1382,
73,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE JUÍNA/MT,200.00,11°22'S,58°43'W,,,1404,
74,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE S.FELIX DO ARAGUAIA/MT,218.00,11°37'S,50°43'W,,,1464,
75,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE VILA BELA DA S.TRIND/MT,222.00,15°03'S,59°52'W,,,1484,
76,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ALTA FLORESTA/MT,289.00,09°50'S,56°06'W,,,1348,
77,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CARLINDA/MT,2900.00,10°00'S,55°47'W,,,1372,
78,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE NOVO MUNDO/MT,431.00,12°31'S,58°13'W,,,1430,
79,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE NOVA MARINGA/MT,353.00,13°02'S,57°05'W,,,1422,
80,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE NOVA UBIRATÃ/MT,518.00,13°24'S,54°45'W,,,1427,
81,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE GAUCHA DO NORTE/MT,379.00,13°11'S,53°15'W,,,1390,
82,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE STO ANTONIO DO LESTE/MT,648.00,14°55'S,53°53'W,,,1462,
83,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE GUIRATINGA/MT,526.00,16°20'S,53°45'W,,,1394,
84,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ITIQUIRA/MT,585.00,17°10'S,54°30'W,,,1399,
85,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ALTO TAQUARI/MT,875.00,17°48'S,53°17'W,,,1353,
86,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PORTO ESTRELA/MT,145.00,15°21'S,57°13'W,,,1445,
87,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SALTO DO CEU/MT,303.00,15°08'S,58°06'W,,,1456,
88,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PONTES E LACERDA/MT,256.00,15°15'S,59°20'W,,,1441,
89,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CACERES/MT,116.00,16°02'S,57°41'W,,,1365,
90,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MACEIÓ/AL,64.50,09°33'S,35°46'W,,,147,
91,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PÃO DE AÇUCAR/AL,19.00,09°45'S,37°26'W,,,168,
92,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PALMEIRA DOS INDIOS/AL,275.00,09°25'S,36°37'W,,,167,
93,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ARAPIRACA/AL,241.00,09°48'S,36°37'W,,,103,
94,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CORURIPE/AL,74.00,10°07'S,36°17'W,,,124,
95,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SÃO LUIS DO QUITUNDE/AL,19.00,09°17'S,35°33'W,,,191,
96,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SALVADOR/BA,51.41,13°01'S,38°31'W,,,616,
97,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BARREIRAS/BA,470.37,12°09'S,45°01'W,,,318,
98,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE AREMBEPE/BA,10.78,12°45'S,38°09'W,,,350,
99,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE L. E. MAGALHAES/BA,754.04,12°09'S,45°49'W,,,515,
100,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CARAVELAS/BA,2.88,17°44'S,39°16'W,,,366,
101,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CRUZ DAS ALMAS/BA,225.87,12°39'S,39°09'W,,,396,
102,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ITIRUÇÚ/BA,755.61,13°31'S,40°07'W,,,480,
103,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ITABERABA/BA,249.89,12°31'S,40°17'W,,,456,
104,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ILHEUS/BA,78.00,14°39'S,39°09'W,,,444,
105,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PAULO AFONSO/BA,252.69,09°22'S,38°13'W,,,574,
106,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MACAJUBA/BA,380.00,12°07'S,40°21'W,,,516,
107,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE FEIRA DE SANTANA/BA,231.00,12°15'S,38°58'W,,,411,
108,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE VITORIA DA CONQUISTA/BA,870.00,14°53'S,40°28'W,,,693,
109,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE STA RITA DE CASSIA/BA,450.00,11°01'S,44°31'W,,,624,
110,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CORRENTINA/BA,540.00,13°20'S,44°37'W,,,391,
111,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BOM JESUS DA LAPA/BA,440.00,13°25'S,43°11'W,,,327,
112,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ABROLHOS/BA,25.00,17°57'S,38°41'W,,,366,
113,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE REMANSO/BA,401.00,09°36'S,42°06'W,,,601,
114,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE IRECÊ/BA,755.00,11°19'S,41°51'W,,,454,
115,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE LENÇOIS/BA,439.00,12°33'S,41°23'W,,,512,
116,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE GUANAMBI/BA,882.00,14°12'S,42°44'W,,,423,
117,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PORTO SEGURO/BA,85.00,16°23'S,39°10'W,,,591,
118,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SENHOR DO BONFIM/BA,548.00,10°26'S,40°08'W,,,650,
119,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BARRA/BA,403.00,11°05'S,43°08'W,,,313,
120,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PIATÃ/BA,1290.00,13°09'S,41°46'W,,,578,
121,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CONDE/BA,10.00,11°48'S,37°35'W,,,384,
122,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BURITIRAMA/BA,502.00,10°43'S,43°39'W,,,338,
123,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BRUMADO/BA,470.00,14°11'S,41°20'W,,,336,
124,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE AMARGOSA/BA,407.00,13°00'S,39°37'W,,,290,
125,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE UAUÁ/BA,453.00,09°50'S,39°29'W,,,675,
126,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE QUEIMADAS/BA,315.00,10°59'S,39°37'W,,,597,
127,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE UNA/BA,82.00,15°16'S,39°05'W,,,681,
128,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MARAU/BA,10.00,13°54'S,38°58'W,,,530,
129,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE IBOTIRAMA/BA,430.00,12°11'S,43°12'W,,,439,
130,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE JACOBINA/BA,453.00,11°12'S,40°27'W,,,488,
131,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SERRINHA/BA,339.00,11°39'S,39°01'W,,,655,
132,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE EUCLIDES DA CUNHA/BA,432.00,10°32'S,38°59'W,,,407,
133,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE DELFINO/BA,637.00,10°27'S,41°12'W,,,680,
134,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE VALENÇA/BA,105.00,13°20'S,39°07'W,,,685,
135,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE IPIAU/BA,125.00,14°10'S,39°41'W,,,447,
136,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ITAPETINGA/BA,269.00,15°14'S,40°13'W,,,474,
137,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BELMONTE/BA,88.00,16°05'S,39°12'W,,,322,
138,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CURACA/BA,370.00,09°00'S,39°91'W,,,397,
139,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PILÃO ARCADO/BA,400.00,10°00'S,42°47'W,,,579,
140,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE JEREMOABO/BA,261.00,10°08'S,38°34'W,,,494,
141,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE FORMOSO DO RIO PRETO/BA,488.00,11°05'S,45°20'W,,,415,
142,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MACAUBAS/BA,574.00,13°03'S,42°61'W,,,518,
143,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ITAMARAJU/BA,110.00,17°43'S,39°55'W,,,466,
144,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE FORTALEZA/CE,41.00,03°46'S,38°33'W,,,756,
145,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SOBRAL/CE,109.62,03°43'S,40°20'W,,,864,
146,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE GUARAMIRANGA/CE,38.20,04°15'S,38°11'W,,,766,
147,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BARBALHA/CE,409.00,07°18'S,39°16'W,,,720,
148,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE IGUATÚ/CE,233.00,06°23'S,39°16'W,,,774,
149,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE TAUÁ/CE,415.00,06°01'S,40°16'W,,,869,
150,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE QUIXERAMOBIM/CE,79.50,05°10'S,39°17'W,,,848,
151,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MORADA NOVA/CE,43.60,05°08'S,38°21'W,,,814,
152,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE JAGUARUANA/CE,12.00,04°47'S,37°46'W,,,792,
153,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CRATEUS/CE,291.00,05°11'S,40°40'W,,,747,
154,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CAMPOS SALES/CE,572.00,07°04'S,40°21'W,,,730,
155,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE JAGUARIBE/CE,184.00,05°54'S,38°37'W,,,791,
156,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ITAPIPOCA/CE,102.00,03°29'S,39°35'W,,,785,
157,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ACARAÚ/CE,76.00,03°07'S,40°05'W,,,700,
158,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SÃO LUIZ/MA,56.00,02°31'S,44°12'W,,,4410,
159,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BALSAS/MA,254.00,07°27'S,46°01'W,,,1152,
160,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CAROLINA/MA,192.00,07°20'S,47°27'W,,,1178,
161,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CHAPADINHA/MA,91.00,03°44'S,43°21'W,,,1185,
162,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE GRAJAÚ/MA,230.00,05°48'S,46°09'W,,,1212,
163,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SANTANA/MA,8.00,02°16'S,43°37'W,,,1296,
164,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PREGUIÇAS/MA,0.10,02°35'S,42°42'W,,,1155,
165,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE TURIAÇU/MA,41.00,01°39'S,45°22'W,,,1336,
166,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BACABAL/MA,28.00,04°14'S,44°47'W,,,1148,
167,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BARRA DO CORDA/MA,153.00,05°30'S,45°14'W,,,1154,
168,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE COLINAS/MA,179.00,06°02'S,44°14'W,,,1189,
169,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ALTO PARNAÍBA/MA,281.00,09°06'S,45°55'W,,,1137,
170,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ESTREITO/MA,180.00,06°39'S,47°25'W,,,1197,
171,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE IMPERATRIZ/MA,126.00,05°33'S,47°27'W,,,1218,
